open,close,volume,symbol,exchange,date
316.895,315.31,11392869.0,COIN,XNAS,2024-12-16T00:00:00+0000
424.87,408.5,31072646.0,MSTR,XNAS,2024-12-16T00:00:00+0000
316.0,310.58,5832592.0,COIN,XNAS,2024-12-13T00:00:00+0000
400.07,408.67,21536882.0,MSTR,XNAS,2024-12-13T00:00:00+0000
317.76,312.96,8324441.0,COIN,XNAS,2024-12-12T00:00:00+0000
413.71,392.19,21074260.0,MSTR,XNAS,2024-12-12T00:00:00+0000
311.85,313.81,10005172.0,COIN,XNAS,2024-12-11T00:00:00+0000
385.66,411.4,27594366.0,MSTR,XNAS,2024-12-11T00:00:00+0000
318.03,302.42,11930554.0,COIN,XNAS,2024-12-10T00:00:00+0000
373.37,377.32,20139878.0,MSTR,XNAS,2024-12-10T00:00:00+0000
339.91,310.52,16951884.0,COIN,XNAS,2024-12-09T00:00:00+0000
394.0,365.34,22606091.0,MSTR,XNAS,2024-12-09T00:00:00+0000
328.555,343.62,16759232.0,COIN,XNAS,2024-12-06T00:00:00+0000
395.29,395.01,26206157.0,MSTR,XNAS,2024-12-06T00:00:00+0000
343.36,320.57,19754071.0,COIN,XNAS,2024-12-05T00:00:00+0000
440.12,386.4,46189812.0,MSTR,XNAS,2024-12-05T00:00:00+0000
312.0,330.94,15761759.0,COIN,XNAS,2024-12-04T00:00:00+0000
380.0,406.0,29862186.0,MSTR,XNAS,2024-12-04T00:00:00+0000
296.782,309.35,10065242.0,COIN,XNAS,2024-12-03T00:00:00+0000
367.85,373.43,22817455.0,MSTR,XNAS,2024-12-03T00:00:00+0000
302.03,302.4,11213960.0,COIN,XNAS,2024-12-02T00:00:00+0000
393.64,380.3,23404298.0,MSTR,XNAS,2024-12-02T00:00:00+0000
311.95,296.2,9550236.0,COIN,XNAS,2024-11-29T00:00:00+0000
405.75,387.47,21987618.0,MSTR,XNAS,2024-11-29T00:00:00+0000
302.78,310.98,13290830.0,COIN,XNAS,2024-11-27T00:00:00+0000
384.29,388.84,34921206.0,MSTR,XNAS,2024-11-27T00:00:00+0000
298.26,293.29,13023023.0,COIN,XNAS,2024-11-26T00:00:00+0000
382.78,353.69,47891004.0,MSTR,XNAS,2024-11-26T00:00:00+0000
309.0,312.22,14630975.0,COIN,XNAS,2024-11-25T00:00:00+0000
440.75,403.45,40180421.0,MSTR,XNAS,2024-11-25T00:00:00+0000
294.885,304.64,12187194.0,COIN,XNAS,2024-11-22T00:00:00+0000
403.6,421.88,55935009.0,MSTR,XNAS,2024-11-22T00:00:00+0000
329.95,295.23,25159900.0,COIN,XNAS,2024-11-21T00:00:00+0000
535.63,397.28,100443991.0,MSTR,XNAS,2024-11-21T00:00:00+0000
332.25,320.01,22315452.0,COIN,XNAS,2024-11-20T00:00:00+0000
463.4,473.83,70212633.0,MSTR,XNAS,2024-11-20T00:00:00+0000
322.08,324.57,13432699.0,COIN,XNAS,2024-11-19T00:00:00+0000
389.5,430.54,50954502.0,MSTR,XNAS,2024-11-19T00:00:00+0000
301.835,325.41,25682010.0,COIN,XNAS,2024-11-18T00:00:00+0000
345.415,384.79,32745915.0,MSTR,XNAS,2024-11-18T00:00:00+0000
282.51,305.85,18020587.0,COIN,XNAS,2024-11-15T00:00:00+0000
336.6,340.65,25841965.0,MSTR,XNAS,2024-11-15T00:00:00+0000
290.81,278.84,16807791.0,COIN,XNAS,2024-11-14T00:00:00+0000
341.77,327.67,26605694.0,MSTR,XNAS,2024-11-14T00:00:00+0000
325.01,284.72,27621509.0,COIN,XNAS,2024-11-13T00:00:00+0000
366.98,328.38,46238500.0,MSTR,XNAS,2024-11-13T00:00:00+0000
310.05,319.13,24433952.0,COIN,XNAS,2024-11-12T00:00:00+0000
334.77,356.59,39705753.0,MSTR,XNAS,2024-11-12T00:00:00+0000
